# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.wait.ms,1771102817220000000,1771102877218000000,4
writeAction.max.wait.ms,1771102817220000000,1771102877218000000,4
parser.VTL.time.ns,1771102817220000000,1771102877218000000,5746658
lexer.VTL.time.ns,1771102817220000000,1771102877218000000,5602010
DiskQueryRelay.tasksRequested,1771102817220000000,1771102877218000000,20
DiskQueryRelay.taskExecutionTotalTimeUs,1771102817220000000,1771102877218000000,22160
parser.VTL.size.bytes,1771102817220000000,1771102877218000000,138
DiskQueryRelay.taskWaitingTotalTimeUs,1771102817220000000,1771102877218000000,23764
cacheStateStorage.get.counter,1771102817220000000,1771102877218000000,9
cacheStateStorage.get.duration,1771102817220000000,1771102877218000000,0
cacheStateStorage.set.counter,1771102817220000000,1771102877218000000,1
cacheStateStorage.set.duration,1771102817220000000,1771102877218000000,18
workspaceModel.cachedValue.from.cache.count,1771102817220000000,1771102877218000000,13
workspaceModel.collect.changes.ms,1771102817220000000,1771102877218000000,0
workspaceModel.cachedValue.calculated.count,1771102817220000000,1771102877218000000,2
workspaceModel.replace.project.model.ms,1771102817220000000,1771102877218000000,0
workspaceModel.full.replace.project.model.ms,1771102817220000000,1771102877218000000,0
workspaceModel.on.before.changed.ms,1771102817220000000,1771102877218000000,0
workspaceModel.updates.ms,1771102817220000000,1771102877218000000,0
workspaceModel.to.snapshot.ms,1771102817220000000,1771102877218000000,0
workspaceModel.cachedValue.total.get.count,1771102817220000000,1771102877218000000,15
workspaceModel.updates.precise.ms,1771102817220000000,1771102877218000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1771102817220000000,1771102877218000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1771102817220000000,1771102877218000000,0
workspaceModel.initializing.ms,1771102817220000000,1771102877218000000,0
workspaceModel.loading.total.ms,1771102817220000000,1771102877218000000,27
workspaceModel.cachedValueWithParameters.from.cache.count,1771102817220000000,1771102877218000000,0
